Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Comment (optional) delays at departure,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Comment (optional) delays on arrival,"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
2019,7,ANGOULEME,PARIS MONTPARNASSE,131.9149798,247,0,191,3.576352531,2.678272605,,41,22.92479675,5.233333333,,0.25,0.15,0.275,0.125,0.025,0.175,21,32.96587302,7,2,2019-07,25,15,27.5,12.5,2.5,17.5
2019,7,PARIS MONTPARNASSE,LA ROCHELLE VILLE,175.6115702,242,0,178,9.780805243,7.033608815,,47,27.08510638,6.123966942,,0.2,0.244444444,0.266666667,0.244444444,0,0.044444444,35,32.05714286,14,2,2019-07,20,24.44444444,26.66666667,24.44444444,0,4.444444444
2019,7,LE MANS,PARIS MONTPARNASSE,62.39534884,435,5,391,3.896973572,3.529341085,,91,18.44065934,4.430193798,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 2 : le heurt d'un animal sur la ligne à grande vitesse Bretagne Pays de la Loire (9 TGV impactés pour 170 minutes perdues),
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 9 : une détection de chute de pierre déclenche les systèmes de protection aux abords des voies entre Angers et Nantes (12 TGV impactés pour 886 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 25 : un incendie aux abords des voies sur la ligne à grande vitesse Bretagne Pays de la Loire (42 TGV impactés pour 1203 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.161764706,0.323529412,0.264705882,0.147058824,0.029411765,0.073529412,30,42.36724138,13,4,2019-07,16.17647059,32.35294118,26.47058824,14.70588235,2.941176471,7.352941176
2019,7,ST MALO,PARIS MONTPARNASSE,172.4210526,114,0,101,1.950990099,1.685672515,,15,20.61888889,3.812134503,,0.153846154,0.153846154,0.230769231,0.384615385,0,0.076923077,8,27.62083333,2,0,2019-07,15.38461538,15.38461538,23.07692308,38.46153846,0,7.692307692
2019,7,PARIS MONTPARNASSE,ST PIERRE DES CORPS,67.31,404,4,284,8.379107981,5.803125,,73,19.60844749,4.176208333,,0.184615385,0.123076923,0.4,0.169230769,0.076923077,0.046153846,28,37.65833333,12,3,2019-07,18.46153846,12.30769231,40,16.92307692,7.692307692,4.615384615
2019,7,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.5947368,190,0,123,4.76598916,2.887719298,,28,47.34345238,8.422105263,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.259259259,0.333333333,0.222222222,0.185185185,0,0,28,47.34345238,13,4,2019-07,25.92592593,33.33333333,22.22222222,18.51851852,0,0
2019,7,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.2628866,194,0,86,5.124224806,1.714690722,,29,45.61091954,8.407474227,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.379310345,0.275862069,0.068965517,0.206896552,0.034482759,0.034482759,29,45.61091954,13,4,2019-07,37.93103448,27.5862069,6.896551724,20.68965517,3.448275862,3.448275862
2019,7,PARIS EST,METZ,85.39938081,323,0,239,10.27845188,7.55247678,,52,37.14487179,5.523632611,,0.24,0.18,0.16,0.26,0.16,0,28,60.87440476,16,11,2019-07,24,18,16,26,16,0
2019,7,PARIS EST,REIMS,46.30555556,222,6,190,4.985263158,4.361882716,,36,28.53935185,5.154243827,,0.323529412,0.147058824,0.176470588,0.235294118,0.117647059,0,18,47.84166667,11,5,2019-07,32.35294118,14.70588235,17.64705882,23.52941176,11.76470588,0
2019,7,PARIS NORD,DOUAI,67,180,3,63,13.86216931,4.626082863,,30,25.51388889,3.633050847,,0.066666667,0.266666667,0.2,0.2,0.266666667,0,18,35.61388889,10,3,2019-07,6.666666667,26.66666667,20,20,26.66666667,0
